Date,Ticker,Action,Price
2017-10-12,TSLA,Sell,355.67999267578125
2017-10-12,SAVA,Buy,4.460000038146973
2017-10-13,ROKU,Sell,23.020000457763672
2017-10-13,TSLA,Buy,355.57000732421875
2017-10-13,AVGR,Buy,138.0
2017-10-13,SAVA,Sell,4.590000152587891
2017-10-16,TSLA,Buy,350.6000061035156
2017-10-16,AVGR,Buy,137.60000610351562
2017-10-16,ROKU,Sell,22.190000534057617
2017-10-16,SAVA,Sell,4.420000076293945
2017-10-17,AVGR,Sell,132.0
2017-10-17,SAVA,Sell,4.099999904632568
2017-10-17,ROKU,Sell,22.09000015258789
2017-10-17,TSLA,Sell,355.75
2017-10-18,ROKU,Sell,22.049999237060547
2017-10-18,AVGR,Sell,133.60000610351562
2017-10-18,TSLA,Buy,359.6499938964844
2017-10-18,SAVA,Buy,4.0
2017-10-19,TSLA,Buy,351.8099975585937
2017-10-19,SAVA,Buy,4.059999942779541
2017-10-19,AVGR,Buy,126.0
2017-10-19,ROKU,Sell,22.030000686645508
2017-10-20,SAVA,Sell,3.839999914169312
2017-10-20,ROKU,Sell,21.8700008392334
2017-10-20,AVGR,Sell,140.0
2017-10-20,TSLA,Sell,345.1000061035156
2017-10-23,AVGR,Buy,135.1999969482422
2017-10-23,TSLA,Buy,337.0199890136719
2017-10-23,ROKU,Buy,20.3700008392334
2017-10-23,SAVA,Buy,3.740000009536743
2017-10-24,ROKU,Sell,19.770000457763672
2017-10-24,TSLA,Buy,337.3399963378906
2017-10-24,SAVA,Sell,4.760000228881836
2017-10-24,AVGR,Sell,131.60000610351562
2017-10-25,AVGR,Sell,129.60000610351562
2017-10-25,SAVA,Sell,4.369999885559082
2017-10-25,ROKU,Sell,18.920000076293945
2017-10-25,TSLA,Sell,325.8399963378906
2017-10-26,ROKU,Sell,18.56999969482422
2017-10-26,TSLA,Buy,326.1700134277344
2017-10-26,SAVA,Buy,4.070000171661377
2017-10-26,AVGR,Buy,134.39999389648438
2017-10-27,TSLA,Buy,320.8699951171875
2017-10-27,ROKU,Buy,18.790000915527344
2017-10-27,SAVA,Sell,3.869999885559082
2017-10-27,AVGR,Buy,132.0
2017-10-30,AVGR,Sell,126.4000015258789
2017-10-30,ROKU,Sell,19.5
